,CSD_code,Electronic_E,Dispersion_E,Dipole_M,Metal_q,HL_Gap,HOMO_Energy,LUMO_Energy,Polarizability
54,HIZLAF,-1705.423502,-0.151323,0.4388,1.31358,0.17893,-0.19726,-0.01833,439.331634
55,IMEVEB,-1401.117132,-0.068555,4.5888,0.68002,0.0779,-0.10043,-0.02253,197.858251
56,AGUFIR,-5021.920045,-0.426233,3.6657,1.52758,0.12072,-0.17527,-0.05455,990.140376
57,YEQZUQ,-3336.459123,-0.160642,7.1235,1.3889,0.15134,-0.19596,-0.04462,443.504459
58,HINFOA,-2296.72578,-0.180254,9.5283,1.91664,0.15179,-0.1594,-0.00761,481.920993
59,DIFSUJ,-3501.667658,-0.283458,9.8759,1.41656,0.11636,-0.17703,-0.06067,675.439338
60,LAPTEB,-2802.180491,-0.303258,4.5777,2.06368,0.13289,-0.18176,-0.04887,737.19222
61,GUXFAH,-3333.389566,-0.246559,1.4073,1.46423,0.14529,-0.19273,-0.04744,581.360613
62,RIKWUF,-3666.247666,-0.306065,10.1407,1.29332,0.08515,-0.15132,-0.06617,723.681587
63,REKDET,-3454.955036,-0.344828,5.0429,1.59339,0.11479,-0.08392,0.03087,812.251393
64,ZUNLOJ,-2285.613298,-0.10753,3.9209,1.31056,0.21165,-0.30625,-0.0946,368.947738
65,DEDBOE,-2780.779197,-0.233546,4.4245,1.99313,0.13269,-0.19169,-0.059,590.031923
66,NOGBIW,-2066.877408,-0.118626,0.0177,1.80452,0.17769,-0.22476,-0.04707,394.030732
67,MANVON,-1252.494503,-0.121716,2.2318,2.00379,0.14831,-0.16337,-0.01506,368.006093
68,GABDIZ,-2666.048247,-0.169574,7.2607,1.57562,0.09645,-0.21871,-0.12226,511.695848
69,IFEGUX,-3343.109534,-0.279262,2.5602,1.36034,0.10588,-0.1558,-0.04992,650.666104
70,ORODAC,-3961.344216,-0.342151,6.5313,1.57939,0.11593,-0.28538,-0.16945,895.326388
71,DOPSEH,-2606.14489,-0.127493,4.8764,1.37072,0.13476,-0.19237,-0.05761,372.194462
72,ZIPKIU,-2052.364099,-0.157536,6.5405,1.79716,0.18109,-0.18303,-0.00194,407.057757
73,TIWJIT,-2036.41761,-0.184664,5.0816,1.94252,0.13026,-0.17708,-0.04682,484.976081
74,SILXUI,-1604.746713,-0.1638,2.9563,2.01225,0.10083,-0.15673,-0.0559,451.036382
75,EJUBUH,-2453.111073,-0.244273,4.1741,1.81034,0.12955,-0.17827,-0.04872,577.884657
76,LILGIX,-2293.848904,-0.145885,5.6117,1.30521,0.13195,-0.16979,-0.03784,391.171309
77,WUPBUE,-1744.001489,-0.142959,5.1166,1.59672,0.14216,-0.16657,-0.02441,385.302443
78,KIRSUZ,-1670.446031,-0.193135,0.8454,1.9307,0.14419,-0.17681,-0.03262,470.564091
79,GEPJOD,-2482.808641,-0.179798,5.3975,1.54591,0.11556,-0.16075,-0.04519,469.00959
80,PITHUY,-2660.504772,-0.16379,4.6674,1.56589,0.12477,-0.19692,-0.07215,455.57688
81,MIRYIX,-2433.685711,-0.104994,5.2565,1.68122,0.18721,-0.20048,-0.01327,314.191154
82,YUKLAS,-1604.86492,-0.140372,6.5258,2.10469,0.12035,-0.26188,-0.14153,398.343986
83,TASREM,-2761.350008,-0.162938,0.6325,1.77519,0.09842,-0.12954,-0.03112,519.47902
84,UHAKAQ,-2278.152292,-0.242902,2.1103,2.07931,0.15478,-0.16515,-0.01037,616.907681
85,IGEDAZ,-1612.670826,-0.133049,1.3237,1.92398,0.124,-0.16826,-0.04426,363.319664
86,UGEKEW,-1962.670785,-0.193816,7.1511,1.51018,0.15928,-0.17435,-0.01507,493.496887
87,NOVKEO,-1541.620219,-0.100694,13.6704,1.62982,0.18635,-0.23647,-0.05012,280.829965
88,LECJUZ,-4195.792978,-0.298165,8.871,1.84891,0.13638,-0.19383,-0.05745,734.567919
89,RIWQOE,-6054.260742,-0.341021,1.0184,0.75124,0.16043,-0.20361,-0.04318,775.214971
90,NOJKAB,-1875.425129,-0.208256,3.34,2.03899,0.10346,-0.11956,-0.0161,528.286978
91,BUJWIO,-2159.056468,-0.216012,7.0915,1.83904,0.09707,-0.16054,-0.06347,545.033981
92,LUSNIX,-9179.242297,-0.072605,5.4105,0.75032,0.15803,-0.21398,-0.05595,249.23424
93,ROJZAS,-1429.010579,-0.162138,14.5903,1.95762,0.13109,-0.1715,-0.04041,425.914241
94,ZOCZAV,-3758.41863,-0.287034,6.3171,1.00795,0.10762,-0.28757,-0.17995,669.359885
95,SEZZOO,-6499.297927,-0.11264,7.6522,0.30148,0.15064,-0.18332,-0.03268,364.762854
96,LITRUD,-2583.435068,-0.193989,4.2128,1.88466,0.05499,-0.16001,-0.10502,523.603596
97,REHBAJ,-2813.095499,-0.294138,1.828,2.00277,0.14351,-0.17841,-0.0349,747.034703
98,YEYBIO,-2332.609097,-0.267859,4.3861,1.96765,0.08874,-0.1571,-0.06836,637.081237
99,ZODNOX,-1211.084056,-0.112657,9.247,1.76371,0.13593,-0.17447,-0.03854,322.500161
100,VEDSED,-2172.766013,-0.137435,7.9285,1.53007,0.17636,-0.20278,-0.02642,384.010854
101,XUMHUJ,-2051.058477,-0.238028,3.1877,2.02106,0.11793,-0.1677,-0.04977,584.89166
102,YILRAP,-2475.670613,-0.161699,0.8104,1.25477,0.09572,-0.16731,-0.07159,430.891322
103,UZORAE,-2815.031974,-0.3378,0.3818,1.86665,0.16146,-0.18045,-0.01899,783.055597
104,LORSOC,-2462.491862,-0.205339,4.771,1.29557,0.10504,-0.15818,-0.05314,495.659163
105,BEVWAC,-2426.829287,-0.201833,5.4362,1.84302,0.14103,-0.17045,-0.02942,528.158759
106,BAKPOT,-2785.143038,-0.123873,2.7348,1.06573,0.12453,-0.18561,-0.06108,344.258255
107,ETAJIS,-1403.146612,-0.15339,11.1229,1.72515,0.12828,-0.09348,0.0348,408.344005
108,CUJPUU,-3004.514391,-0.22179,0.0818,1.88989,0.16717,-0.21047,-0.0433,557.914683
109,RIDQUQ,-2868.925772,-0.240557,7.7624,1.74334,0.1476,-0.21127,-0.06367,637.76674
110,FOFCOS,-5049.906521,-0.286257,3.3407,1.65749,0.00809,-0.27872,-0.27063,660.38137
111,VASJOR,-2070.967981,-0.173925,7.1129,1.58425,0.13925,-0.16525,-0.026,461.687763
112,BUNYAL,-4352.996158,-0.135421,5.3306,0.97449,0.11957,-0.19209,-0.07252,434.280874
113,RIHXOY,-3012.483736,-0.180331,3.5041,1.43962,0.12493,-0.16569,-0.04076,471.249478
114,ROJMAF,-2209.38283,-0.167487,9.9153,1.46112,0.142,-0.16691,-0.02491,426.820293
115,YEPKIO,-7230.582803,-0.247897,3.5814,1.46439,0.13506,-0.18342,-0.04836,616.629811
116,RIKXIU,-3760.861185,-0.322332,5.9716,1.2389,0.12259,-0.17971,-0.05712,733.869161
117,YIJNAH,-4217.580108,-0.420655,6.8849,1.56006,0.08271,-0.15665,-0.07394,951.38052
118,UCIBIT,-4074.379049,-0.181926,11.9267,1.65879,0.10969,-0.20762,-0.09793,532.381807
119,ASABUS,-3299.186151,-0.207364,7.3849,1.52101,0.12829,-0.15809,-0.0298,548.9184
120,SAHQUQ,-9836.51755,-0.167723,9.3684,1.66289,0.11581,-0.2153,-0.09949,532.117386
121,EXOTAM,-1707.18215,-0.146947,7.6863,1.84584,0.16468,-0.16057,0.00411,395.440946
122,KADCOH,-2367.81656,-0.175977,4.6713,2.05122,0.11396,-0.16622,-0.05226,490.085062
123,AMAWIU,-2675.250188,-0.230289,4.3469,1.40892,0.0982,-0.16016,-0.06196,547.084025
124,PIYNIV,-2657.46451,-0.200898,4.7697,2.01183,0.17011,-0.17325,-0.00314,525.132592
125,PAKVOO,-2095.20538,-0.201956,4.8908,1.84554,0.09004,-0.16019,-0.07015,552.809401
126,DAFHAW,-2577.872337,-0.126896,5.7169,1.67354,0.10756,-0.19766,-0.0901,396.349581
127,NAXYOD,-3555.663226,-0.287537,2.3748,1.43657,0.13073,-0.18781,-0.05708,670.382932
128,BUCFOV,-1934.001043,-0.192672,4.0758,1.95109,0.11246,-0.1593,-0.04684,490.173702
129,MIWGOR,-2087.746375,-0.241187,1.6837,1.99625,0.13688,-0.16001,-0.02313,598.980496
130,QOJSOX,-1139.018935,-0.112422,1.211,1.82932,0.12779,-0.17426,-0.04647,326.098638
131,PUWWIN,-1690.2176,-0.13647,4.3335,1.90751,0.14504,-0.16148,-0.01644,376.237959
132,LIPGID,-1505.720381,-0.157526,7.8839,1.66153,0.09369,-0.13392,-0.04023,418.211168
133,HELMIU,-2571.350652,-0.152404,6.485,1.75666,0.07781,-0.19008,-0.11227,468.152948
134,NEBFUX,-2064.964523,-0.142878,9.3,1.65253,0.10967,-0.20285,-0.09318,437.253817
135,MOMSAK,-3660.088745,-0.226581,0.7594,1.89175,0.11309,-0.19284,-0.07975,628.227707
136,XUKVOQ,-2624.004331,-0.134126,1.2463,1.45283,0.08695,-0.19401,-0.10706,406.311767
137,OHOZAN,-3703.857116,-0.249129,2.4932,1.58613,0.13172,-0.19914,-0.06742,625.416155
138,RANDOZ,-2799.927068,-0.222148,3.7443,1.81499,0.10725,-0.2051,-0.09785,565.297633
139,PAZQEP,-3871.81457,-0.271469,1.3624,1.68857,0.1571,-0.28601,-0.12891,622.611938
140,KOCCAJ,-2735.692238,-0.166628,3.7473,1.57385,0.11748,-0.19149,-0.07401,456.132325
141,AFOZIE,-1698.782605,-0.136103,8.679,1.56297,0.15053,-0.16039,-0.00986,356.940039
142,RIKWEP,-3282.891125,-0.130011,13.9561,0.50678,0.10789,-0.0927,0.01519,385.44752
143,RAYMIQ,-2515.193572,-0.326373,5.1074,2.02023,0.09071,-0.15233,-0.06162,718.757365
144,OHUYOG,-1527.28816,-0.117813,3.4643,1.67167,0.14185,-0.19281,-0.05096,370.892726
145,TUBZAT,-4169.089852,-0.266019,2.5847,1.79322,0.14244,-0.22807,-0.08563,685.041664
146,BAFQEH,-2041.910056,-0.223926,4.0626,1.87237,0.1277,-0.15718,-0.02948,534.111629
147,REVMAG,-2432.73925,-0.165095,6.8247,1.18493,0.17083,-0.18023,-0.0094,429.127153
148,IMOVEN,-4064.861431,-0.141036,5.6392,1.49192,0.12336,-0.18611,-0.06275,398.994585
149,SOXTIL,-2811.419268,-0.227656,8.455,1.69438,0.08195,-0.19159,-0.10964,586.393111
150,GOXYAT,-1995.999284,-0.093352,1.5689,1.10366,0.16227,-0.19661,-0.03434,278.89256
151,NONHUW,-2069.840565,-0.243877,4.1173,1.95522,0.14079,-0.17331,-0.03252,601.104319
152,TUVXUD,-2603.334075,-0.080215,3.2152,0.734,0.18003,-0.3437,-0.16367,226.213881
153,UDOFIC,-1246.295637,-0.122868,2.961,1.7698,0.08829,-0.1548,-0.06651,341.951264
154,FEGCOL,-2827.206868,-0.180535,2.7369,1.62216,0.09041,-0.18002,-0.08961,592.942453
155,JOCDUD,-3007.317545,-0.204688,1.4398,1.56434,0.11778,-0.18208,-0.0643,519.768652
156,DIFTEU,-5884.249556,-0.261363,20.4314,1.11162,0.07045,-0.16543,-0.09498,660.064339
157,UPABUK,-2117.911706,-0.164949,6.3931,1.91242,0.1479,-0.17168,-0.02378,462.8108
158,XUBGOQ,-3273.718708,-0.248963,0.0006,1.65328,0.16251,-0.3018,-0.13929,671.437018
159,WIXKIY,-1634.737363,-0.161838,8.1204,1.91939,0.143,-0.15319,-0.01019,431.094987
160,WEWZED,-1849.144524,-0.088985,6.3099,1.26491,0.16583,-0.1738,-0.00797,272.34872
161,BEYHEU,-3787.187644,-0.184273,16.748,0.84139,0.11349,-0.21259,-0.0991,465.417886
162,DICXAQ,-3104.899002,-0.139825,4.5739,0.86678,0.15991,-0.21216,-0.05225,381.3003
163,BADBAJ,-842.869688,-0.067751,2.9503,2.07079,0.01493,-0.17518,-0.16025,257.473214
164,APUDAQ,-2265.981989,-0.203301,8.3915,1.67276,0.1344,-0.15678,-0.02238,513.194854
165,VAQDOJ,-2762.254596,-0.273566,5.5514,1.78079,0.12813,-0.17919,-0.05106,659.187801
166,RABPUH,-1612.711683,-0.137154,0.8876,1.75373,0.13542,-0.17269,-0.03727,360.030109
167,HIPQAA,-2341.32543,-0.215277,1.6427,1.89772,0.0997,-0.17984,-0.08014,549.178181
168,YONZAD,-2710.315709,-0.217512,7.9442,1.74431,0.1499,-0.19469,-0.04479,538.170377
169,ZOCYIC,-3523.852311,-0.274654,3.3319,1.46841,0.1397,-0.19198,-0.05228,664.804635
170,WIMBOL,-2573.264274,-0.244684,5.3723,1.96758,0.0993,-0.18553,-0.08623,628.370455
171,VERLOW,-2174.174344,-0.2192,0.4975,1.80842,0.13519,-0.17059,-0.0354,552.686877
172,DOWSUF,-2876.334394,-0.256742,5.7791,1.83348,0.106,-0.18928,-0.08328,658.927881
173,PIFRUS,-1717.21663,-0.092049,5.0859,1.5563,0.19698,-0.23814,-0.04116,269.136562
174,HEXDIZ,-2089.209285,-0.199201,5.0929,1.81855,0.11099,-0.16678,-0.05579,551.715793
175,YEVLIV,-2113.638085,-0.128042,6.3397,1.59233,0.10142,-0.19217,-0.09075,382.452748
176,VIBFIW,-2420.28172,-0.200435,8.5584,1.91852,0.15952,-0.17957,-0.02005,556.766036
177,PAKVEE,-2274.83511,-0.149296,5.5627,1.46557,0.10442,-0.17821,-0.07379,436.902199
178,KOYDEJ,-1804.446063,-0.141901,1.6451,1.95463,0.09407,-0.16217,-0.0681,409.742993
179,JASWOQ,-2660.536345,-0.10627,17.576,0.98571,0.16734,-0.22,-0.05266,327.569756
180,EXOTEQ,-1506.325741,-0.144838,8.4768,1.81708,0.13196,-0.13777,-0.00581,377.345407
181,SOJCAX,-3889.655489,-0.292094,4.8747,1.39069,0.16431,-0.19111,-0.0268,742.259431
182,XIPMUG,-3265.433429,-0.219674,9.3084,1.56152,0.13692,-0.18901,-0.05209,576.683491
183,CEPNIW,-3147.795826,-0.238846,5.0446,1.47095,0.13837,-0.18768,-0.04931,624.37818
184,CORNIG,-2603.597128,-0.046434,11.5975,0.56835,0.21289,-0.23951,-0.02662,166.230547
185,NAPJUL,-1765.14357,-0.134697,1.8444,1.94711,0.11324,-0.17115,-0.05791,398.763923
186,COKKEV,-3424.340951,-0.228303,4.5013,1.30763,0.09424,-0.17601,-0.08177,607.990334
187,URUVIO,-2625.458901,-0.175647,4.0978,1.58891,0.15201,-0.21965,-0.06764,462.542589
188,FOLZEM,-3277.262776,-0.193135,9.7875,1.49523,0.13685,-0.1855,-0.04865,518.345747
189,PUPKUI,-3738.303518,-0.288934,5.0975,1.55639,0.14439,-0.1971,-0.05271,673.049352
190,LUGQUA,-3258.84628,-0.150967,13.2215,1.46736,0.09711,-0.18703,-0.08992,486.149781
191,PUMKEP,-968.912134,-0.09007,4.6031,1.69965,0.14961,-0.17773,-0.02812,272.063802
192,HAFZAR,-1606.968747,-0.151936,0.6916,1.94574,0.14643,-0.16967,-0.02324,415.768128
193,YILQUI,-2699.38217,-0.138399,6.4096,1.35495,0.10898,-0.18991,-0.08093,401.440206
194,TIGGAR,-3224.509251,-0.326798,2.9602,2.00141,0.13604,-0.19056,-0.05452,792.841923
195,LORBUR,-2803.026056,-0.150977,3.2973,1.82417,0.14893,-0.33574,-0.18681,451.187865
196,BERHEO,-3261.673919,-0.173088,2.1402,0.86195,0.13441,-0.20626,-0.07185,460.087205
197,HUDGEU,-3886.093728,-0.230892,0.0717,1.72499,0.13405,-0.18953,-0.05548,608.048756
198,REVLUZ,-3011.824236,-0.225334,9.7452,1.27778,0.16054,-0.16996,-0.00942,548.739922
199,QEJFIW,-2118.643041,-0.249151,5.1443,1.89681,0.09816,-0.1541,-0.05594,593.478117
200,QIMHEB,-3322.239866,-0.17613,12.3271,1.06403,0.09983,-0.15018,-0.05035,480.345459
201,VEVTOH,-2838.987199,-0.251263,3.8775,1.91293,0.12999,-0.18026,-0.05027,631.863123
202,BEYREE,-1563.836978,-0.068416,11.8904,1.55082,0.11379,-0.22247,-0.10868,238.473758
203,IPIGAQ,-3920.82576,-0.18778,13.0287,1.67986,0.01519,-0.19128,-0.17609,511.797708
204,YEGTIN,-3364.332215,-0.318117,0.2194,1.78153,0.03879,-0.06921,-0.03042,800.528979
205,IJAPIT,-1003.21846,-0.092966,2.8818,1.7277,0.13621,-0.18264,-0.04643,279.021914
206,LUSMET,-2909.297376,-0.229906,3.2576,1.61682,0.12194,-0.16452,-0.04258,580.53014
207,HAQTIC,-1788.385063,-0.142829,4.6637,1.94929,0.13809,-0.17174,-0.03365,408.541135
208,YIBQUW,-4439.3535,-0.301856,18.434,1.65383,0.10776,-0.24229,-0.13453,769.311714
209,MITCIB,-2896.66442,-0.154046,11.8963,1.51916,0.18491,-0.22937,-0.04446,415.13016
210,KEHWUS,-3076.101069,-0.27351,1.205,1.50683,0.12339,-0.18223,-0.05884,667.393159
211,EWALIY,-2840.014363,-0.240501,11.2803,1.32104,0.09511,-0.15964,-0.06453,567.009359
212,ZIWQUU,-1904.120386,-0.164848,4.2146,1.91181,0.14805,-0.16536,-0.01731,427.873795
213,LIRBOE,-2408.860873,-0.13498,8.5562,1.48498,0.16271,-0.16924,-0.00653,368.246314
214,XENJUV,-1869.149025,-0.113795,10.5634,1.47688,0.1371,-0.23213,-0.09503,346.044202
215,NEKGEQ,-4088.728037,-0.328795,3.1425,1.04043,0.11714,-0.17087,-0.05373,821.415019
216,AJAMII,-2026.715476,-0.220665,8.0906,1.67602,0.09092,-0.11712,-0.0262,544.79972
217,LAJJEN,-1602.611198,-0.137843,0.0068,1.65639,0.10821,-0.26732,-0.15911,391.594202
218,ZAYWOO,-2877.046448,-0.28045,4.8365,1.98525,0.12959,-0.16971,-0.04012,700.114862
219,TIMZIA,-2866.414102,-0.261126,5.8886,1.96522,0.06835,-0.15104,-0.08269,719.909593
220,NEZDOM,-1996.692585,-0.158053,7.7811,1.8095,0.1808,-0.17822,0.00258,415.700644
221,JARVOQ,-1508.756963,-0.079601,2.4084,1.8343,0.13381,-0.11144,0.02237,272.640994
222,XOJHAG,-1849.677659,-0.12085,0.9669,1.76908,0.10298,-0.20323,-0.10025,407.386496
223,GEYRUA,-3218.92638,-0.184157,3.3313,1.1478,0.14228,-0.17408,-0.0318,466.733138
224,GESDOY,-3898.478257,-0.231254,4.3177,1.27274,0.14764,-0.18948,-0.04184,572.512347
225,QEGMUM,-3379.932388,-0.373915,2.7739,1.89119,0.12836,-0.14935,-0.02099,860.788099
226,HAVMEY,-1492.830306,-0.060688,8.0794,1.56475,0.19804,-0.25985,-0.06181,208.295754
227,AJIJOT,-3860.70629,-0.257862,6.8526,1.88879,0.08012,-0.185,-0.10488,701.035724
228,WEQCIE,-1905.89776,-0.10951,3.3085,1.32506,0.14125,-0.20833,-0.06708,339.484435
229,JABKIG,-2128.799616,-0.138789,3.4171,1.4911,0.1999,-0.2223,-0.0224,410.124703
230,PUPLIX,-2732.622058,-0.297879,5.3961,2.05065,0.10419,-0.15598,-0.05179,717.056577
231,UZERUO,-2872.222561,-0.250552,8.3542,1.89495,0.11804,-0.17972,-0.06168,637.616442
232,NAHFIM,-2722.961788,-0.293721,9.0531,2.09321,0.13502,-0.27043,-0.13541,685.954617
233,NEPPAC,-2990.94773,-0.227151,5.6632,1.21446,0.09286,-0.15761,-0.06475,543.870194
234,GAGLOQ,-3524.032233,-0.233843,0.0063,1.86292,0.17999,-0.10694,0.07305,594.350623
235,IPISAC,-2737.429695,-0.248824,3.1687,2.00601,0.12073,-0.1669,-0.04617,621.90476
236,RAFCIL,-7020.407861,-0.109228,7.32,1.02782,0.01285,-0.34071,-0.32786,317.940907
237,MOJGOH,-1488.343847,-0.129069,5.5759,1.84979,0.15446,-0.16437,-0.00991,352.595387
238,JASWUW,-2542.877184,-0.053549,10.1165,0.59188,0.2283,-0.24941,-0.02111,174.210002
239,ZIWRAB,-2083.405393,-0.181779,6.9144,1.77504,0.13983,-0.16217,-0.02234,469.087546
240,COMXUY,-2383.680476,-0.212598,0.1873,1.67133,0.0989,-0.1742,-0.0753,569.197717
241,SUBWUJ,-2616.796498,-0.236759,2.5696,2.01435,0.14331,-0.16036,-0.01705,601.42197
242,KIGRUQ,-2882.138818,-0.285826,6.0004,1.83235,0.14777,-0.18395,-0.03618,683.415777
243,TOHMOS,-3941.746406,-0.176314,3.1515,0.54156,0.16171,-0.2026,-0.04089,436.174682
244,BOBXAS,-2270.137433,-0.157466,8.4166,1.47177,0.14268,-0.1674,-0.02472,418.582111
245,SAQBAO,-4737.1698,-0.350034,8.0725,1.33212,0.12312,-0.17999,-0.05687,821.961119
246,QAWKUW,-4300.336535,-0.325008,3.5292,1.86926,0.14752,-0.20175,-0.05423,792.815165
247,ZIDSOX,-2123.837208,-0.233036,1.9015,2.10774,0.17189,-0.1777,-0.00581,572.737603
248,WIXMAS,-3384.670383,-0.21054,6.3293,1.50987,0.13631,-0.18886,-0.05255,568.259843
249,BEPDOR,-1275.807426,-0.13938,5.744,1.90471,0.13559,-0.16277,-0.02718,377.312645
250,EPONIH,-2023.837397,-0.242954,14.501,1.80951,0.13505,-0.17775,-0.0427,583.738797
251,BIVJOI,-2019.499545,-0.22733,0.3989,1.97749,0.15193,-0.18351,-0.03158,560.560234
252,ILOJUQ,-4036.905219,-0.294214,2.0208,1.12305,0.09472,-0.17568,-0.08096,721.067099
253,HUQBAX,-4996.141315,-0.286844,6.9223,1.86733,0.12788,-0.18416,-0.05628,697.843974
254,FEBRAH,-3566.060152,-0.282664,7.9768,1.17747,0.10566,-0.15261,-0.04695,709.337856
255,PAKVII,-1861.841397,-0.173827,5.0381,1.84309,0.09065,-0.16059,-0.06994,493.062024
256,KETGOI,-1420.336093,-0.125423,3.7669,2.01887,0.13461,-0.16105,-0.02644,365.205143
257,NADRUF,-926.169233,-0.075878,8.032,1.53956,0.0972,-0.11157,-0.01437,244.585061
