CSD_code;Electronic_E;Dispersion_E;Dipole_M;Metal_q;HL_Gap;HOMO_Energy;LUMO_Energy;Polarizability
NAPKEW;-1681.969504;-0.154646;4.939600;1.934870;0.097380;-0.164180;-0.066800;429.422193
MUBQEH;-2714.782482;-0.128666;5.934600;1.391520;0.143650;-0.181670;-0.038020;365.005645
DIFTIY;-3596.859292;-0.265391;9.275900;1.327470;0.114250;-0.178540;-0.064290;651.025358
FEKQEU;-5089.111357;-0.192483;8.042800;1.312230;0.083870;-0.210360;-0.126490;545.413980
ZIGLAF;-2250.885146;-0.168099;4.011900;1.962450;0.133270;-0.166180;-0.032910;464.698333
MAHYEB;-2331.656322;-0.158435;3.607100;1.976950;0.132290;-0.183660;-0.051370;456.360012
ACUGOV;-1969.533765;-0.104908;9.460800;1.577540;0.122490;-0.242780;-0.120290;356.135331
MIDNAO;-2568.495598;-0.108820;1.200400;0.940050;0.128610;-0.178470;-0.049860;295.377364
IJAZEZ;-1249.567745;-0.135456;5.157000;1.874430;0.135300;-0.203940;-0.068640;382.351839
CAVYOO;-2720.926343;-0.127098;10.798100;1.544120;0.165210;-0.191720;-0.026510;375.786381
GOHPOJ;-2691.005537;-0.121161;1.996600;1.767640;0.087720;-0.205180;-0.117460;411.308536
NOLQIP;-3557.701942;-0.292458;2.759300;1.031350;0.116290;-0.162820;-0.046530;670.989797
ODISOM;-2282.379352;-0.193056;4.508900;2.025330;0.124880;-0.182790;-0.057910;533.158467
TUQMEZ;-3258.183772;-0.256070;5.031500;0.799510;0.084370;-0.159740;-0.075370;621.950510
TUJYIG;-1321.324972;-0.143767;3.007800;1.974210;0.138920;-0.167030;-0.028110;386.660152
LOFMAV;-1653.306666;-0.145982;3.705800;1.898970;0.111780;-0.159020;-0.047240;417.940257
HIZLAF;-1705.423502;-0.151323;0.438800;1.313580;0.178930;-0.197260;-0.018330;439.331634
IMEVEB;-1401.117132;-0.068555;4.588800;0.680020;0.077900;-0.100430;-0.022530;197.858251
AGUFIR;-5021.920045;-0.426233;3.665700;1.527580;0.120720;-0.175270;-0.054550;990.140376
YEQZUQ;-3336.459123;-0.160642;7.123500;1.388900;0.151340;-0.195960;-0.044620;443.504459
HINFOA;-2296.725780;-0.180254;9.528300;1.916640;0.151790;-0.159400;-0.007610;481.920993
DIFSUJ;-3501.667658;-0.283458;9.875900;1.416560;0.116360;-0.177030;-0.060670;675.439338
LAPTEB;-2802.180491;-0.303258;4.577700;2.063680;0.132890;-0.181760;-0.048870;737.192220
GUXFAH;-3333.389566;-0.246559;1.407300;1.464230;0.145290;-0.192730;-0.047440;581.360613
RIKWUF;-3666.247666;-0.306065;10.140700;1.293320;0.085150;-0.151320;-0.066170;723.681587
REKDET;-3454.955036;-0.344828;5.042900;1.593390;0.114790;-0.083920;0.030870;812.251393
ZUNLOJ;-2285.613298;-0.107530;3.920900;1.310560;0.211650;-0.306250;-0.094600;368.947738
DEDBOE;-2780.779197;-0.233546;4.424500;1.993130;0.132690;-0.191690;-0.059000;590.031923
NOGBIW;-2066.877408;-0.118626;0.017700;1.804520;0.177690;-0.224760;-0.047070;394.030732
MANVON;-1252.494503;-0.121716;2.231800;2.003790;0.148310;-0.163370;-0.015060;368.006093
GABDIZ;-2666.048247;-0.169574;7.260700;1.575620;0.096450;-0.218710;-0.122260;511.695848
IFEGUX;-3343.109534;-0.279262;2.560200;1.360340;0.105880;-0.155800;-0.049920;650.666104
ORODAC;-3961.344216;-0.342151;6.531300;1.579390;0.115930;-0.285380;-0.169450;895.326388
DOPSEH;-2606.144890;-0.127493;4.876400;1.370720;0.134760;-0.192370;-0.057610;372.194462
ZIPKIU;-2052.364099;-0.157536;6.540500;1.797160;0.181090;-0.183030;-0.001940;407.057757
TIWJIT;-2036.417610;-0.184664;5.081600;1.942520;0.130260;-0.177080;-0.046820;484.976081
SILXUI;-1604.746713;-0.163800;2.956300;2.012250;0.100830;-0.156730;-0.055900;451.036382
EJUBUH;-2453.111073;-0.244273;4.174100;1.810340;0.129550;-0.178270;-0.048720;577.884657
LILGIX;-2293.848904;-0.145885;5.611700;1.305210;0.131950;-0.169790;-0.037840;391.171309
WUPBUE;-1744.001489;-0.142959;5.116600;1.596720;0.142160;-0.166570;-0.024410;385.302443
KIRSUZ;-1670.446031;-0.193135;0.845400;1.930700;0.144190;-0.176810;-0.032620;470.564091
GEPJOD;-2482.808641;-0.179798;5.397500;1.545910;0.115560;-0.160750;-0.045190;469.009590
PITHUY;-2660.504772;-0.163790;4.667400;1.565890;0.124770;-0.196920;-0.072150;455.576880
MIRYIX;-2433.685711;-0.104994;5.256500;1.681220;0.187210;-0.200480;-0.013270;314.191154
YUKLAS;-1604.864920;-0.140372;6.525800;2.104690;0.120350;-0.261880;-0.141530;398.343986
TASREM;-2761.350008;-0.162938;0.632500;1.775190;0.098420;-0.129540;-0.031120;519.479020
UHAKAQ;-2278.152292;-0.242902;2.110300;2.079310;0.154780;-0.165150;-0.010370;616.907681
IGEDAZ;-1612.670826;-0.133049;1.323700;1.923980;0.124000;-0.168260;-0.044260;363.319664
UGEKEW;-1962.670785;-0.193816;7.151100;1.510180;0.159280;-0.174350;-0.015070;493.496887
NOVKEO;-1541.620219;-0.100694;13.670400;1.629820;0.186350;-0.236470;-0.050120;280.829965
LECJUZ;-4195.792978;-0.298165;8.871000;1.848910;0.136380;-0.193830;-0.057450;734.567919
RIWQOE;-6054.260742;-0.341021;1.018400;0.751240;0.160430;-0.203610;-0.043180;775.214971
NOJKAB;-1875.425129;-0.208256;3.340000;2.038990;0.103460;-0.119560;-0.016100;528.286978
BUJWIO;-2159.056468;-0.216012;7.091500;1.839040;0.097070;-0.160540;-0.063470;545.033981
LUSNIX;-9179.242297;-0.072605;5.410500;0.750320;0.158030;-0.213980;-0.055950;249.234240
ROJZAS;-1429.010579;-0.162138;14.590300;1.957620;0.131090;-0.171500;-0.040410;425.914241
ZOCZAV;-3758.418630;-0.287034;6.317100;1.007950;0.107620;-0.287570;-0.179950;669.359885
SEZZOO;-6499.297927;-0.112640;7.652200;0.301480;0.150640;-0.183320;-0.032680;364.762854
LITRUD;-2583.435068;-0.193989;4.212800;1.884660;0.054990;-0.160010;-0.105020;523.603596
REHBAJ;-2813.095499;-0.294138;1.828000;2.002770;0.143510;-0.178410;-0.034900;747.034703
YEYBIO;-2332.609097;-0.267859;4.386100;1.967650;0.088740;-0.157100;-0.068360;637.081237
ZODNOX;-1211.084056;-0.112657;9.247000;1.763710;0.135930;-0.174470;-0.038540;322.500161
VEDSED;-2172.766013;-0.137435;7.928500;1.530070;0.176360;-0.202780;-0.026420;384.010854
XUMHUJ;-2051.058477;-0.238028;3.187700;2.021060;0.117930;-0.167700;-0.049770;584.891660
YILRAP;-2475.670613;-0.161699;0.810400;1.254770;0.095720;-0.167310;-0.071590;430.891322
UZORAE;-2815.031974;-0.337800;0.381800;1.866650;0.161460;-0.180450;-0.018990;783.055597
LORSOC;-2462.491862;-0.205339;4.771000;1.295570;0.105040;-0.158180;-0.053140;495.659163
BEVWAC;-2426.829287;-0.201833;5.436200;1.843020;0.141030;-0.170450;-0.029420;528.158759
BAKPOT;-2785.143038;-0.123873;2.734800;1.065730;0.124530;-0.185610;-0.061080;344.258255
ETAJIS;-1403.146612;-0.153390;11.122900;1.725150;0.128280;-0.093480;0.034800;408.344005
CUJPUU;-3004.514391;-0.221790;0.081800;1.889890;0.167170;-0.210470;-0.043300;557.914683
RIDQUQ;-2868.925772;-0.240557;7.762400;1.743340;0.147600;-0.211270;-0.063670;637.766740
FOFCOS;-5049.906521;-0.286257;3.340700;1.657490;0.008090;-0.278720;-0.270630;660.381370
VASJOR;-2070.967981;-0.173925;7.112900;1.584250;0.139250;-0.165250;-0.026000;461.687763
BUNYAL;-4352.996158;-0.135421;5.330600;0.974490;0.119570;-0.192090;-0.072520;434.280874
RIHXOY;-3012.483736;-0.180331;3.504100;1.439620;0.124930;-0.165690;-0.040760;471.249478
ROJMAF;-2209.382830;-0.167487;9.915300;1.461120;0.142000;-0.166910;-0.024910;426.820293
YEPKIO;-7230.582803;-0.247897;3.581400;1.464390;0.135060;-0.183420;-0.048360;616.629811
RIKXIU;-3760.861185;-0.322332;5.971600;1.238900;0.122590;-0.179710;-0.057120;733.869161
YIJNAH;-4217.580108;-0.420655;6.884900;1.560060;0.082710;-0.156650;-0.073940;951.380520
UCIBIT;-4074.379049;-0.181926;11.926700;1.658790;0.109690;-0.207620;-0.097930;532.381807
ASABUS;-3299.186151;-0.207364;7.384900;1.521010;0.128290;-0.158090;-0.029800;548.918400
SAHQUQ;-9836.517550;-0.167723;9.368400;1.662890;0.115810;-0.215300;-0.099490;532.117386
EXOTAM;-1707.182150;-0.146947;7.686300;1.845840;0.164680;-0.160570;0.004110;395.440946
KADCOH;-2367.816560;-0.175977;4.671300;2.051220;0.113960;-0.166220;-0.052260;490.085062
AMAWIU;-2675.250188;-0.230289;4.346900;1.408920;0.098200;-0.160160;-0.061960;547.084025
PIYNIV;-2657.464510;-0.200898;4.769700;2.011830;0.170110;-0.173250;-0.003140;525.132592
PAKVOO;-2095.205380;-0.201956;4.890800;1.845540;0.090040;-0.160190;-0.070150;552.809401
DAFHAW;-2577.872337;-0.126896;5.716900;1.673540;0.107560;-0.197660;-0.090100;396.349581
NAXYOD;-3555.663226;-0.287537;2.374800;1.436570;0.130730;-0.187810;-0.057080;670.382932
BUCFOV;-1934.001043;-0.192672;4.075800;1.951090;0.112460;-0.159300;-0.046840;490.173702
MIWGOR;-2087.746375;-0.241187;1.683700;1.996250;0.136880;-0.160010;-0.023130;598.980496
QOJSOX;-1139.018935;-0.112422;1.211000;1.829320;0.127790;-0.174260;-0.046470;326.098638
PUWWIN;-1690.217600;-0.136470;4.333500;1.907510;0.145040;-0.161480;-0.016440;376.237959
LIPGID;-1505.720381;-0.157526;7.883900;1.661530;0.093690;-0.133920;-0.040230;418.211168
HELMIU;-2571.350652;-0.152404;6.485000;1.756660;0.077810;-0.190080;-0.112270;468.152948
NEBFUX;-2064.964523;-0.142878;9.300000;1.652530;0.109670;-0.202850;-0.093180;437.253817
MOMSAK;-3660.088745;-0.226581;0.759400;1.891750;0.113090;-0.192840;-0.079750;628.227707
XUKVOQ;-2624.004331;-0.134126;1.246300;1.452830;0.086950;-0.194010;-0.107060;406.311767
OHOZAN;-3703.857116;-0.249129;2.493200;1.586130;0.131720;-0.199140;-0.067420;625.416155
RANDOZ;-2799.927068;-0.222148;3.744300;1.814990;0.107250;-0.205100;-0.097850;565.297633
PAZQEP;-3871.814570;-0.271469;1.362400;1.688570;0.157100;-0.286010;-0.128910;622.611938
KOCCAJ;-2735.692238;-0.166628;3.747300;1.573850;0.117480;-0.191490;-0.074010;456.132325
AFOZIE;-1698.782605;-0.136103;8.679000;1.562970;0.150530;-0.160390;-0.009860;356.940039
RIKWEP;-3282.891125;-0.130011;13.956100;0.506780;0.107890;-0.092700;0.015190;385.447520
RAYMIQ;-2515.193572;-0.326373;5.107400;2.020230;0.090710;-0.152330;-0.061620;718.757365
OHUYOG;-1527.288160;-0.117813;3.464300;1.671670;0.141850;-0.192810;-0.050960;370.892726
TUBZAT;-4169.089852;-0.266019;2.584700;1.793220;0.142440;-0.228070;-0.085630;685.041664
BAFQEH;-2041.910056;-0.223926;4.062600;1.872370;0.127700;-0.157180;-0.029480;534.111629
REVMAG;-2432.739250;-0.165095;6.824700;1.184930;0.170830;-0.180230;-0.009400;429.127153
IMOVEN;-4064.861431;-0.141036;5.639200;1.491920;0.123360;-0.186110;-0.062750;398.994585
SOXTIL;-2811.419268;-0.227656;8.455000;1.694380;0.081950;-0.191590;-0.109640;586.393111
GOXYAT;-1995.999284;-0.093352;1.568900;1.103660;0.162270;-0.196610;-0.034340;278.892560
NONHUW;-2069.840565;-0.243877;4.117300;1.955220;0.140790;-0.173310;-0.032520;601.104319
TUVXUD;-2603.334075;-0.080215;3.215200;0.734000;0.180030;-0.343700;-0.163670;226.213881
UDOFIC;-1246.295637;-0.122868;2.961000;1.769800;0.088290;-0.154800;-0.066510;341.951264
FEGCOL;-2827.206868;-0.180535;2.736900;1.622160;0.090410;-0.180020;-0.089610;592.942453
JOCDUD;-3007.317545;-0.204688;1.439800;1.564340;0.117780;-0.182080;-0.064300;519.768652
DIFTEU;-5884.249556;-0.261363;20.431400;1.111620;0.070450;-0.165430;-0.094980;660.064339
UPABUK;-2117.911706;-0.164949;6.393100;1.912420;0.147900;-0.171680;-0.023780;462.810800
XUBGOQ;-3273.718708;-0.248963;0.000600;1.653280;0.162510;-0.301800;-0.139290;671.437018
WIXKIY;-1634.737363;-0.161838;8.120400;1.919390;0.143000;-0.153190;-0.010190;431.094987
WEWZED;-1849.144524;-0.088985;6.309900;1.264910;0.165830;-0.173800;-0.007970;272.348720
BEYHEU;-3787.187644;-0.184273;16.748000;0.841390;0.113490;-0.212590;-0.099100;465.417886
DICXAQ;-3104.899002;-0.139825;4.573900;0.866780;0.159910;-0.212160;-0.052250;381.300300
BADBAJ;-842.869688;-0.067751;2.950300;2.070790;0.014930;-0.175180;-0.160250;257.473214
APUDAQ;-2265.981989;-0.203301;8.391500;1.672760;0.134400;-0.156780;-0.022380;513.194854
VAQDOJ;-2762.254596;-0.273566;5.551400;1.780790;0.128130;-0.179190;-0.051060;659.187801
RABPUH;-1612.711683;-0.137154;0.887600;1.753730;0.135420;-0.172690;-0.037270;360.030109
HIPQAA;-2341.325430;-0.215277;1.642700;1.897720;0.099700;-0.179840;-0.080140;549.178181
YONZAD;-2710.315709;-0.217512;7.944200;1.744310;0.149900;-0.194690;-0.044790;538.170377
ZOCYIC;-3523.852311;-0.274654;3.331900;1.468410;0.139700;-0.191980;-0.052280;664.804635
WIMBOL;-2573.264274;-0.244684;5.372300;1.967580;0.099300;-0.185530;-0.086230;628.370455
VERLOW;-2174.174344;-0.219200;0.497500;1.808420;0.135190;-0.170590;-0.035400;552.686877
DOWSUF;-2876.334394;-0.256742;5.779100;1.833480;0.106000;-0.189280;-0.083280;658.927881
PIFRUS;-1717.216630;-0.092049;5.085900;1.556300;0.196980;-0.238140;-0.041160;269.136562
HEXDIZ;-2089.209285;-0.199201;5.092900;1.818550;0.110990;-0.166780;-0.055790;551.715793
YEVLIV;-2113.638085;-0.128042;6.339700;1.592330;0.101420;-0.192170;-0.090750;382.452748
VIBFIW;-2420.281720;-0.200435;8.558400;1.918520;0.159520;-0.179570;-0.020050;556.766036
PAKVEE;-2274.835110;-0.149296;5.562700;1.465570;0.104420;-0.178210;-0.073790;436.902199
KOYDEJ;-1804.446063;-0.141901;1.645100;1.954630;0.094070;-0.162170;-0.068100;409.742993
JASWOQ;-2660.536345;-0.106270;17.576000;0.985710;0.167340;-0.220000;-0.052660;327.569756
EXOTEQ;-1506.325741;-0.144838;8.476800;1.817080;0.131960;-0.137770;-0.005810;377.345407
SOJCAX;-3889.655489;-0.292094;4.874700;1.390690;0.164310;-0.191110;-0.026800;742.259431
XIPMUG;-3265.433429;-0.219674;9.308400;1.561520;0.136920;-0.189010;-0.052090;576.683491
CEPNIW;-3147.795826;-0.238846;5.044600;1.470950;0.138370;-0.187680;-0.049310;624.378180
CORNIG;-2603.597128;-0.046434;11.597500;0.568350;0.212890;-0.239510;-0.026620;166.230547
NAPJUL;-1765.143570;-0.134697;1.844400;1.947110;0.113240;-0.171150;-0.057910;398.763923
COKKEV;-3424.340951;-0.228303;4.501300;1.307630;0.094240;-0.176010;-0.081770;607.990334
URUVIO;-2625.458901;-0.175647;4.097800;1.588910;0.152010;-0.219650;-0.067640;462.542589
FOLZEM;-3277.262776;-0.193135;9.787500;1.495230;0.136850;-0.185500;-0.048650;518.345747
PUPKUI;-3738.303518;-0.288934;5.097500;1.556390;0.144390;-0.197100;-0.052710;673.049352
LUGQUA;-3258.846280;-0.150967;13.221500;1.467360;0.097110;-0.187030;-0.089920;486.149781
PUMKEP;-968.912134;-0.090070;4.603100;1.699650;0.149610;-0.177730;-0.028120;272.063802
HAFZAR;-1606.968747;-0.151936;0.691600;1.945740;0.146430;-0.169670;-0.023240;415.768128
YILQUI;-2699.382170;-0.138399;6.409600;1.354950;0.108980;-0.189910;-0.080930;401.440206
TIGGAR;-3224.509251;-0.326798;2.960200;2.001410;0.136040;-0.190560;-0.054520;792.841923
LORBUR;-2803.026056;-0.150977;3.297300;1.824170;0.148930;-0.335740;-0.186810;451.187865
BERHEO;-3261.673919;-0.173088;2.140200;0.861950;0.134410;-0.206260;-0.071850;460.087205
HUDGEU;-3886.093728;-0.230892;0.071700;1.724990;0.134050;-0.189530;-0.055480;608.048756
REVLUZ;-3011.824236;-0.225334;9.745200;1.277780;0.160540;-0.169960;-0.009420;548.739922
QEJFIW;-2118.643041;-0.249151;5.144300;1.896810;0.098160;-0.154100;-0.055940;593.478117
QIMHEB;-3322.239866;-0.176130;12.327100;1.064030;0.099830;-0.150180;-0.050350;480.345459
VEVTOH;-2838.987199;-0.251263;3.877500;1.912930;0.129990;-0.180260;-0.050270;631.863123
BEYREE;-1563.836978;-0.068416;11.890400;1.550820;0.113790;-0.222470;-0.108680;238.473758
IPIGAQ;-3920.825760;-0.187780;13.028700;1.679860;0.015190;-0.191280;-0.176090;511.797708
YEGTIN;-3364.332215;-0.318117;0.219400;1.781530;0.038790;-0.069210;-0.030420;800.528979
IJAPIT;-1003.218460;-0.092966;2.881800;1.727700;0.136210;-0.182640;-0.046430;279.021914
LUSMET;-2909.297376;-0.229906;3.257600;1.616820;0.121940;-0.164520;-0.042580;580.530140
HAQTIC;-1788.385063;-0.142829;4.663700;1.949290;0.138090;-0.171740;-0.033650;408.541135
YIBQUW;-4439.353500;-0.301856;18.434000;1.653830;0.107760;-0.242290;-0.134530;769.311714
MITCIB;-2896.664420;-0.154046;11.896300;1.519160;0.184910;-0.229370;-0.044460;415.130160
KEHWUS;-3076.101069;-0.273510;1.205000;1.506830;0.123390;-0.182230;-0.058840;667.393159
EWALIY;-2840.014363;-0.240501;11.280300;1.321040;0.095110;-0.159640;-0.064530;567.009359
ZIWQUU;-1904.120386;-0.164848;4.214600;1.911810;0.148050;-0.165360;-0.017310;427.873795
LIRBOE;-2408.860873;-0.134980;8.556200;1.484980;0.162710;-0.169240;-0.006530;368.246314
XENJUV;-1869.149025;-0.113795;10.563400;1.476880;0.137100;-0.232130;-0.095030;346.044202
NEKGEQ;-4088.728037;-0.328795;3.142500;1.040430;0.117140;-0.170870;-0.053730;821.415019
AJAMII;-2026.715476;-0.220665;8.090600;1.676020;0.090920;-0.117120;-0.026200;544.799720
LAJJEN;-1602.611198;-0.137843;0.006800;1.656390;0.108210;-0.267320;-0.159110;391.594202
ZAYWOO;-2877.046448;-0.280450;4.836500;1.985250;0.129590;-0.169710;-0.040120;700.114862
TIMZIA;-2866.414102;-0.261126;5.888600;1.965220;0.068350;-0.151040;-0.082690;719.909593
NEZDOM;-1996.692585;-0.158053;7.781100;1.809500;0.180800;-0.178220;0.002580;415.700644
JARVOQ;-1508.756963;-0.079601;2.408400;1.834300;0.133810;-0.111440;0.022370;272.640994
XOJHAG;-1849.677659;-0.120850;0.966900;1.769080;0.102980;-0.203230;-0.100250;407.386496
GEYRUA;-3218.926380;-0.184157;3.331300;1.147800;0.142280;-0.174080;-0.031800;466.733138
GESDOY;-3898.478257;-0.231254;4.317700;1.272740;0.147640;-0.189480;-0.041840;572.512347
QEGMUM;-3379.932388;-0.373915;2.773900;1.891190;0.128360;-0.149350;-0.020990;860.788099
HAVMEY;-1492.830306;-0.060688;8.079400;1.564750;0.198040;-0.259850;-0.061810;208.295754
AJIJOT;-3860.706290;-0.257862;6.852600;1.888790;0.080120;-0.185000;-0.104880;701.035724
WEQCIE;-1905.897760;-0.109510;3.308500;1.325060;0.141250;-0.208330;-0.067080;339.484435
JABKIG;-2128.799616;-0.138789;3.417100;1.491100;0.199900;-0.222300;-0.022400;410.124703
PUPLIX;-2732.622058;-0.297879;5.396100;2.050650;0.104190;-0.155980;-0.051790;717.056577
UZERUO;-2872.222561;-0.250552;8.354200;1.894950;0.118040;-0.179720;-0.061680;637.616442
NAHFIM;-2722.961788;-0.293721;9.053100;2.093210;0.135020;-0.270430;-0.135410;685.954617
NEPPAC;-2990.947730;-0.227151;5.663200;1.214460;0.092860;-0.157610;-0.064750;543.870194
GAGLOQ;-3524.032233;-0.233843;0.006300;1.862920;0.179990;-0.106940;0.073050;594.350623
IPISAC;-2737.429695;-0.248824;3.168700;2.006010;0.120730;-0.166900;-0.046170;621.904760
RAFCIL;-7020.407861;-0.109228;7.320000;1.027820;0.012850;-0.340710;-0.327860;317.940907
MOJGOH;-1488.343847;-0.129069;5.575900;1.849790;0.154460;-0.164370;-0.009910;352.595387
JASWUW;-2542.877184;-0.053549;10.116500;0.591880;0.228300;-0.249410;-0.021110;174.210002
ZIWRAB;-2083.405393;-0.181779;6.914400;1.775040;0.139830;-0.162170;-0.022340;469.087546
COMXUY;-2383.680476;-0.212598;0.187300;1.671330;0.098900;-0.174200;-0.075300;569.197717
SUBWUJ;-2616.796498;-0.236759;2.569600;2.014350;0.143310;-0.160360;-0.017050;601.421970
KIGRUQ;-2882.138818;-0.285826;6.000400;1.832350;0.147770;-0.183950;-0.036180;683.415777
TOHMOS;-3941.746406;-0.176314;3.151500;0.541560;0.161710;-0.202600;-0.040890;436.174682
BOBXAS;-2270.137433;-0.157466;8.416600;1.471770;0.142680;-0.167400;-0.024720;418.582111
SAQBAO;-4737.169800;-0.350034;8.072500;1.332120;0.123120;-0.179990;-0.056870;821.961119
QAWKUW;-4300.336535;-0.325008;3.529200;1.869260;0.147520;-0.201750;-0.054230;792.815165
ZIDSOX;-2123.837208;-0.233036;1.901500;2.107740;0.171890;-0.177700;-0.005810;572.737603
WIXMAS;-3384.670383;-0.210540;6.329300;1.509870;0.136310;-0.188860;-0.052550;568.259843
BEPDOR;-1275.807426;-0.139380;5.744000;1.904710;0.135590;-0.162770;-0.027180;377.312645
EPONIH;-2023.837397;-0.242954;14.501000;1.809510;0.135050;-0.177750;-0.042700;583.738797
BIVJOI;-2019.499545;-0.227330;0.398900;1.977490;0.151930;-0.183510;-0.031580;560.560234
ILOJUQ;-4036.905219;-0.294214;2.020800;1.123050;0.094720;-0.175680;-0.080960;721.067099
HUQBAX;-4996.141315;-0.286844;6.922300;1.867330;0.127880;-0.184160;-0.056280;697.843974
FEBRAH;-3566.060152;-0.282664;7.976800;1.177470;0.105660;-0.152610;-0.046950;709.337856
PAKVII;-1861.841397;-0.173827;5.038100;1.843090;0.090650;-0.160590;-0.069940;493.062024
KETGOI;-1420.336093;-0.125423;3.766900;2.018870;0.134610;-0.161050;-0.026440;365.205143
NADRUF;-926.169233;-0.075878;8.032000;1.539560;0.097200;-0.111570;-0.014370;244.585061
DAFFIA;-2469.174904;-0.205713;6.888600;1.669580;0.073400;-0.114920;-0.041520;548.506090
WOHFIL;-6532.977330;-0.242582;9.457200;1.213670;0.110880;-0.222490;-0.111610;606.610019
DEZFIA;-4034.890193;-0.274680;2.465500;1.213850;0.104130;-0.161410;-0.057280;655.490561
VOGHIK;-2367.707085;-0.175886;4.941000;1.322160;0.104060;-0.156920;-0.052860;443.641738
JIJFIR;-1514.476450;-0.063030;6.515400;1.633020;0.077040;-0.255240;-0.178200;241.295542
DANXEY;-2556.182426;-0.240311;1.662100;1.933690;0.094970;-0.157090;-0.062120;616.631359
BOLNIC;-1536.576652;-0.153425;0.975800;1.880560;0.133880;-0.171630;-0.037750;419.336895
VIFREH;-1784.525899;-0.115251;0.851500;0.895620;0.129610;-0.161880;-0.032270;289.472672
KILLID;-2729.638790;-0.164888;0.572000;1.237870;0.170190;-0.220300;-0.050110;481.501066
